"brand","top_speed_kmh","battery_capacity_kWh","torque_nm","efficiency_wh_per_km","range_km","acceleration_0_100_s","fast_charging_power_kw_dc","cargo_volume_l","drivetrain","segment","length_mm","width_mm","height_mm","car_body_type","log_acceleration_0_100_s","log_cargo_volume_l","log_fast_charging_power_kw_dc","log_top_speed_kmh","log_torque_nm"
"Porsche",230,97,420,168,575,4.8,281,407,"RWD","F - Luxury",4963,1966,1379,"Sedan",1.56861591791385,6.00881318544259,5.63835466933375,5.4380793089232,6.04025471127741
"Porsche",230,97,420,176,530,4.8,281,446,"RWD","F - Luxury",4963,1966,1390,"Station/Estate",1.56861591791385,6.10031895202006,5.63835466933375,5.4380793089232,6.04025471127741
"Porsche",230,82.3,410,173,460,4.8,195,446,"RWD","F - Luxury",4963,1966,1390,"Station/Estate",1.56861591791385,6.10031895202006,5.27299955856375,5.4380793089232,6.01615715969835
"Porsche",260,97,940,174,535,2.7,281,366,"AWD","F - Luxury",4963,1966,1379,"Sedan",0.993251773010283,5.90263333340137,5.63835466933375,5.56068163101553,6.84587987526405
"Porsche",250,97,940,188,495,2.8,281,405,"AWD","F - Luxury",4974,1967,1412,"Station/Estate",1.02961941718116,6.00388706710654,5.63835466933375,5.52146091786225,6.84587987526405
"Porsche",290,97,1340,184,475,2.3,281,326,"AWD","F - Luxury",4968,1966,1378,"Sedan",0.832909122935104,5.78689738136671,5.63835466933375,5.66988092298052,7.20042489294496
"Porsche",305,97,1340,180,475,2.2,281,367,"AWD","F - Luxury",4968,1966,1378,"Sedan",0.78845736036427,5.90536184805457,5.63835466933375,5.72031177660741,7.20042489294496
"Porsche",260,97,1110,174,525,2.4,281,366,"AWD","F - Luxury",4963,1966,1378,"Sedan",0.8754687373539,5.90263333340137,5.63835466933375,5.56068163101553,7.01211529430638
"Porsche",250,97,1110,188,485,2.5,281,405,"AWD","F - Luxury",4974,1967,1407,"Station/Estate",0.916290731874155,6.00388706710654,5.63835466933375,5.52146091786225,7.01211529430638
"Porsche",260,97,1110,183,505,2.4,281,405,"AWD","F - Luxury",4963,1966,1388,"Station/Estate",0.8754687373539,6.00388706710654,5.63835466933375,5.56068163101553,7.01211529430638
"Porsche",260,97,940,184,505,2.7,281,405,"AWD","F - Luxury",4963,1966,1392,"Station/Estate",0.993251773010283,6.00388706710654,5.63835466933375,5.56068163101553,6.84587987526405
"Renault",150,40,225,124,245,9.2,55,420,"FWD","JB - Compact",4143,1796,1552,"SUV",2.21920348405499,6.04025471127741,4.00733318523247,5.01063529409626,5.41610040220442
"Renault",150,52,245,127,315,8.2,70,420,"FWD","JB - Compact",4143,1796,1552,"SUV",2.10413415427021,6.04025471127741,4.24849524204936,5.01063529409626,5.50125821054473
"Renault",150,40,225,132,250,9,55,326,"FWD","B - Compact",3922,1808,1489,"Hatchback",2.19722457733622,5.78689738136671,4.00733318523247,5.01063529409626,5.41610040220442
"Renault",130,40,215,129,255,12,NA,326,"FWD","B - Compact",3922,1808,1489,"Hatchback",2.484906649788,5.78689738136671,NA,4.86753445045558,5.37063802812766
"Renault",150,52,245,129,320,8,70,326,"FWD","B - Compact",3922,1808,1489,"Hatchback",2.07944154167984,5.78689738136671,4.24849524204936,5.01063529409626,5.50125821054473
"Renault",135,45,245,158,225,12.6,50,950,"FWD","N - Passenger Van",4486,1860,1838,"Small Passenger Van",2.53369681395743,6.85646198459459,3.91202300542815,4.90527477843843,5.50125821054473
"Renault",130,45,245,170,220,13.3,50,500,"FWD","N - Passenger Van",4911,1860,1815,"Small Passenger Van",2.58776403522771,6.21460809842219,3.91202300542815,4.86753445045558,5.50125821054473
"Renault",150,60,250,125,380,10.5,88,440,"FWD","C - Medium",4200,1860,1505,"Hatchback",2.35137525716348,6.08677472691231,4.47733681447821,5.01063529409626,5.52146091786225
"Renault",160,60,300,133,380,7.4,88,440,"FWD","C - Medium",4200,1860,1505,"Hatchback",2.00148000021012,6.08677472691231,4.47733681447821,5.07517381523383,5.7037824746562
"Renault",150,60,280,144,340,8.6,75,545,"FWD","JC - Medium",4470,1864,1571,"SUV",2.15176220325946,6.30078579466324,4.31748811353631,5.01063529409626,5.63478960316925
"Renault",170,87,300,143,480,7.9,95,545,"FWD","JC - Medium",4470,1864,1571,"SUV",2.06686275947298,6.30078579466324,4.55387689160054,5.13579843705026,5.7037824746562
"Rolls-Royce",250,102,900,192,465,4.5,126,380,"AWD","I - Luxury",5453,2080,1559,"Coupe",1.50407739677627,5.94017125272043,4.83628190695148,5.52146091786225,6.80239476332431
"Skoda",160,52,310,149,310,9,90,470,"RWD","JC - Medium",4488,1884,1625,"SUV",2.19722457733622,6.1527326947041,4.49980967033027,5.07517381523383,5.73657229747919
"Skoda",160,59,310,149,350,8.5,110,470,"RWD","JC - Medium",4488,1884,1625,"SUV",2.14006616349627,6.1527326947041,4.70048036579242,5.07517381523383,5.73657229747919
"Skoda",180,77,545,145,450,6.6,120,470,"RWD","JC - Medium",4488,1884,1625,"SUV",1.88706964903238,6.1527326947041,4.78749174278205,5.19295685089021,6.30078579466324
"Skoda",180,79,679,151,450,5.4,135,470,"AWD","JC - Medium",4488,1884,1608,"SUV",1.68639895357023,6.1527326947041,4.90527477843843,5.19295685089021,6.5206211275587
"Skoda",160,59,310,145,360,8.1,110,585,"RWD","JC - Medium",4658,1879,1622,"SUV",2.09186406167839,6.37161184723186,4.70048036579242,5.07517381523383,5.73657229747919
"Skoda",180,77,545,141,455,6.7,120,585,"RWD","JC - Medium",4658,1879,1622,"SUV",1.90210752639692,6.37161184723186,4.78749174278205,5.19295685089021,6.30078579466324
"Skoda",180,77,679,150,450,6.7,120,585,"AWD","JC - Medium",4658,1879,1620,"SUV",1.90210752639692,6.37161184723186,4.78749174278205,5.19295685089021,6.5206211275587
"Skoda",160,59,310,141,370,8.1,110,570,"RWD","JC - Medium",4658,1879,1623,"SUV",2.09186406167839,6.3456363608286,4.70048036579242,5.07517381523383,5.73657229747919
"Skoda",180,77,545,138,470,6.7,120,570,"RWD","JC - Medium",4658,1879,1623,"SUV",1.90210752639692,6.3456363608286,4.78749174278205,5.19295685089021,6.30078579466324
"Skoda",180,77,679,146,460,6.7,120,570,"AWD","JC - Medium",4658,1879,1621,"SUV",1.90210752639692,6.3456363608286,4.78749174278205,5.19295685089021,6.5206211275587
"Skoda",180,79,679,143,470,5.4,135,570,"AWD","JC - Medium",4660,1879,1608,"SUV",1.68639895357023,6.3456363608286,4.90527477843843,5.19295685089021,6.5206211275587
"Skoda",180,79,679,147,460,5.4,135,585,"AWD","JC - Medium",4660,1879,1607,"SUV",1.68639895357023,6.37161184723186,4.90527477843843,5.19295685089021,6.5206211275587
"Skywell",150,81,320,166,390,9.6,50,467,"FWD","JD - Large",4720,1908,1696,"SUV",2.26176309847379,6.1463292576689,3.91202300542815,5.01063529409626,5.76832099579377
"Skywell",150,68,320,149,330,9.6,50,467,"FWD","JD - Large",4720,1908,1696,"SUV",2.26176309847379,6.1463292576689,3.91202300542815,5.01063529409626,5.76832099579377
"Smart",180,62,584,155,325,3.9,100,313,"AWD","JB - Compact",4300,1822,1636,"SUV",1.3609765531356,5.74620319054015,4.60517018598809,5.19295685089021,6.36990098282823
"Smart",180,62,343,141,335,6.7,100,323,"RWD","JB - Compact",4270,1822,1636,"SUV",1.90210752639692,5.77765232322266,4.60517018598809,5.19295685089021,5.83773044716594
"Smart",180,47,343,152,250,6.7,65,323,"RWD","JB - Compact",4270,1822,1636,"SUV",1.90210752639692,5.77765232322266,4.17438726989564,5.19295685089021,5.83773044716594
"Smart",180,62,343,148,335,6.7,100,323,"RWD","JB - Compact",4270,1822,1636,"SUV",1.90210752639692,5.77765232322266,4.60517018598809,5.19295685089021,5.83773044716594
"Smart",180,62,584,155,325,4.5,100,313,"AWD","JB - Compact",4300,1822,1636,"SUV",1.50407739677627,5.74620319054015,4.60517018598809,5.19295685089021,6.36990098282823
